Fishman Island,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Fishman Island 01,Ch. 603-604,Ep. 523-524,2013.03.27,00:26:03,FBA08093
,Fishman Island 02,Ch. 605-606,Ep. 524-526,2013.03.29,00:24:14,BD7169C3
,Fishman Island 03,Ch. 607-608,Ep. 526-527,2013.03.31,00:24:05,5636E014
,Fishman Island 04,Ch. 609-610,Ep. 528-529,2013.04.02,00:28:44,9E0A91E9
,Fishman Island 05,Ch. 611-612,Ep. 530-531,2013.04.04,00:27:07,DA5B5D04
,Fishman Island 06,Ch. 613-614,Ep. 532-533,2013.04.06,00:29:42,64FB3990
,Fishman Island 07,Ch. 614-615,Ep. 533-534,2013.04.07,00:34:13,29A10280
,Fishman Island 08,Ch. 616-618,Ep. 535-537,2013.04.09,00:45:13,DBA50B89
,Fishman Island 09,Ch. 619-620,"Ep. 538-539,541",2013.04.09,00:34:38,FCF7F7E4
,Fishman Island 10,Ch. 621-622,Ep. 540-541,2013.04.14,00:35:46,F4BB17EB
,Fishman Island 11,Ch. 623-624,Ep. 543-545,2013.04.14,00:35:58,7926F9B5
,Fishman Island 12,Ch. 625-626,Ep. 545-546,2013.04.14,00:39:21,F134C10A
,Fishman Island 13,Ch. 627-629,Ep. 547-550,2013.04.16,00:34:58,04C7B716
,Fishman Island 14,Ch. 630-631,Ep. 550-551,2013.04.17,00:28:58,35A189E2
,Fishman Island 15,Ch. 632-633,Ep. 552-553,2013.04.19,00:30:19,8014A332
,Fishman Island 16,Ch. 634-635,Ep. 554-556,2013.04.25,00:36:05,DF3A7006
,Fishman Island 17,Ch. 636-637,Ep. 556-558,2013.04.26,00:28:09,EB0BC95C
,Fishman Island 18,Ch. 638-639,Ep. 559-560,2013.04.28,00:24:59,B6BD1A60
,Fishman Island 19,Ch. 640-641,Ep. 561-562,2013.04.30,00:35:15,C19D5680
,Fishman Island 20,Ch. 642-645,Ep. 563-567,2013.05.03,00:30:23,94E2099D
,Fishman Island 21,Ch. 643-646,Ep. 562-567,2013.05.07,00:29:08,85AD9C81
,Fishman Island 22,Ch. 647-649,Ep. 567-569,2013.05.11,00:42:27,7DBBFA18
,Fishman Island 23,Ch. 650-651,Ep. 570-571,2013.05.15,00:31:28,65BD682D
,Fishman Island 24,Ch. 652-653,Ep. 572-573,2013.05.16,00:32:49,99A61805
