Zou,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Zou 01,Ch. 801-803,"Ep. 746-747,751-753",2016.08.26,00:38:09,E70913D9
,Zou 02,Ch. 804-805,Ep. 753-754,2016.09.09,00:20:37,32150FF4
,Zou 03,Ch. 806-807,Ep. 755-757,2016.09.30,00:26:41,E4B077F8
,Zou 04,Ch. 808-809,Ep. 757-760,2016.10.23,00:24:35,A4F76B13
,Zou 05,Ch. 810-811,Ep. 759-762,2016.11.16,00:24:03,7149D13F
,Zou 06,Ch. 812-813,Ep. 762-764,2016.12.24,00:29:36,7F73DB45
,Zou 07,Ch. 814-815,Ep. 764-766,2016.12.12,00:30:46,55837445
,Zou 08,Ch. 816-817,Ep. 767-769,2016.12.25,00:29:12,5B2AAFBF
,Zou 09,Ch. 818-819,Ep. 769-772,2017.01.27,00:32:15,0880B38F
,Zou 10,Ch. 820-822,"Ep. 772-774,776",2017.03.03,00:44:34,4A52B138
