No.,Arcs,Manga Chapters,# of Ch.,Anime Episodes,Episodes Adapted,Filler Episodes,# of Pace Ep.,Piece Minutes,Pace Minutes,Saved Minutes,Saved %,Audio Languages,Sub Languages,Pixeldrain only,Resolution,Arc Watch Guide: Pace + Original
1,Romance Dawn,1 - 7,7.0,"1 - 4, 19",5,,4.0,105.0,0 days 01:16:39,29.0,0.2761904762,"Jpn,Eng,Es, De","Eng,Es,Fr,De,Ar,Pt,Pl,Eng CC",,1080p,Pace
2,Orange Town,8 - 21,14.0,4 - 8,5,,3.0,105.0,0 days 01:19:13,26.0,0.2476190476,"Jpn,Eng, Es, De ","Eng,Es,Fr,Ar,Pt,De",Pt,1080p,Pace
3,Syrup Village,23 - 41,19.0,9 - 17,9,,7.0,189.0,0 days 02:31:35,38.0,0.2010582011,"Jpn, Eng (1-6), Es (1-6)","Eng,Es,Fr,De","Es, Fr",1080p,Pace
4,Gaimon,"42,22",2.0,18,1,,1.0,21.0,0 days 00:18:45,3.0,0.1428571429,"Jpn,Eng,Es","Eng,Es,Fr, De",,1080p,Pace
5,Baratie,42 - 68,27.0,19 - 30,12,,9.0,252.0,0 days 03:01:18,71.0,0.2817460317,"Jpn,Eng","Eng,Es, Fr (3-9), De (1-6)",Fr  (1-2),1080p,Pace
6,Arlong Park,69 - 95,27.0,31 - 44,14,,10.0,294.0,0 days 03:59:36,55.0,0.1870748299,"Jpn,Eng","Eng,Es, Fr, De (1-5)",Fr ,"480p,1080p",Pace
6.5,The Adventures of Buggy's Crew,35 - 75,,46 - 47,2,,1.0,42.0,0 days 00:20:36,22.0,0.5238095238,"Jpn,Eng","Eng,Es, Fr",De,1080p,Pace
7,Loguetown,96 - 100,5.0,"45, 48 - 53",6,51,3.0,126.0,0 days 01:29:39,37.0,0.2936507937,"Jpn,Eng","Eng,Es, Fr ",Fr,480p,Pace
8,Reverse Mountain,101 - 105,5.0,"55, 61 - 63",4,56 - 60,2.0,84.0,0 days 00:49:54,35.0,0.4166666667,"Jpn,Eng","Eng,Es , Fr ",De,1080p,Pace
9,Whisky Peak (TBR),106 - 114,9.0,64 - 67,4,,2.0,84.0,0 days 01:07:35,17.0,0.2023809524,Jpn,"Eng, Es , Fr ","Es, Fr",480p,Pace
9.5,The Trials of Koby-Meppo,83-119,,68 - 69,2,,1.0,42.0,0 days 00:13:10,29.0,0.6875,"Jpn,Eng","Eng, Fr, Es ",Es,1080p,Pace
