Egghead , One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32,MKV CRC32 (Extended),Length (Extended)
,Egghead 01,Ch. 1058-1059,Ep. 1086-1088,2024.09.24,00:24:53,CA3F14A8,,
,Egghead 02,Ch. 1059-1060,Ep. 1087-1088,2024.09.14,00:23:58,D511F339,,
,Egghead 03,Ch. 1060-1061,Ep. 1089-1090,2025.01.11,00:30:30,5B546203,,
,Egghead 04,Ch. 1062-1063,Ep. 1091-1093,2025.01.11,00:31:53,ACBE88D6,,
,Egghead 05,Ch. 1064-1065,Ep. 1093-1095,2025.01.11,00:34:06,C6E79353,,
,Egghead 06,Ch. 1066,Ep. 1096-1097,2025.02.07,00:21:04,69F1BBD5,,
,Egghead 07,Ch. 1067-1068,Ep. 1097-1099,2025.02.22,00:32:25,A42DEAED,,
,  Egghead 08  ,Ch. 1069-1070,Ep. 1099-1102,2025.03.08,00:35:03,4C1997F3,1FDB8A9C,00:38:47
,Egghead 09,Ch. 1071-1072,Ep. 1102-1104,2025.03.22,00:36:17,29B2D72D,,
,Egghead 10,Ch. 1073-1074,Ep. 1104-1107,2025.04.18,00:36:06,2B00E24B,,
,Egghead 11,Ch. 1075-1076,Ep. 1107-1109,2025.05.03,00:31:38,448628C9,,
,Egghead 12,Ch. 1077-1078,"Ep. 1108, 1110-1111",2025.06.13,00:28:39,6FEADFF5,,
,Egghead 13,Ch. 1079,Ep. 1112,2025.06.30,00:15:53,6C170189,482F69B7,00:17:39
,Egghead 14,Ch. 1080-1081,Ep. 1113-1115,2025.08.10,00:39:16,3C0010BE,CA3683BA,00:42:23
,Egghead 15,Ch. 1082-1083,Ep. 1116-1117,2025.08.23,00:31:48,21BF9495,,
,Egghead 16,Ch. 1084-1085,Ep. 1118-1119,2025.08.29,00:24:50,7A93DCC5,,
,Egghead 17,Ch. 1085-1086,Ep. 1119-1120,2025.09.07,00:20:21,76281ED9,,
,Egghead 18,Ch. 1087-1088,Ep. 1121-1122,2025.04.04,00:34:44,8A1836B5,,
,Egghead 19,Ch. 1089-1090,Ep. 1123-1124,2025.08.30,00:30:59,6AE11B21,93B80191,00:32:46
,Egghead 20 Forward,Ch. 1091-1125,Ep. 1125—,To Be Released,,,,
