Skypiea,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Skypiea 01,Ch. 237-238,Ep. 153,2023.06.12,00:19:56,CA5552FC
,Skypiea 02,Ch. 239-240,Ep. 154,2023.06.12,00:21:01,EB6E8FF5
,Skypiea 03,Ch. 241-242,Ep. 155-156,2023.06.12,00:24:30,A50167E6
,Skypiea 04,Ch. 243-244,Ep. 157-158,2023.06.12,00:29:13,C6120876
,Skypiea 05,Ch. 245-246,Ep. 159-160,2023.06.12,00:23:19,FEA121C3
,Skypiea 06,Ch. 247-249,Ep. 161-163,2023.10.14,00:34:21,BF59EB14
,Skypiea 07,Ch. 250-251,Ep. 163-164,2023.10.21,00:20:30,3C665F73
,Skypiea 08,Ch. 252-254,Ep. 165-167,2023.10.28,00:36:55,236CCF51
,Skypiea 09,Ch. 255-257,Ep. 168-169,2023.11.17,00:34:55,CF0B1E5A
,Skypiea 10,Ch. 258-260,Ep. 170-171,2023.12.02,00:18:57,602704E6
,Skypiea 11,Ch. 261-263,Ep. 171-173,2024.04.12,00:32:25,F0EF6382
,Skypiea 12,"Ch. 264-266,268",Ep. 172-174,2024.04.26,00:28:24,99260C5A
,Skypiea 13,Ch. 266-269,Ep. 175-176,2024.05.24,00:33:09,460CC2CD
,Skypiea 14,Ch. 270-273,Ep. 177-179,2024.06.08,00:29:01,702231E9
,Skypiea 15,Ch. 273-276,Ep. 179-181,2024.07.20,00:36:11,9863ADF4
,Skypiea 16,Ch. 277-279,Ep. 181-182,2024.09.13,00:26:38,088462CB
,Skypiea 17,Ch. 280-283,Ep. 183-185,2024.12.07,00:31:36,FBEA8001
,Skypiea 18,Ch. 283-286,Ep. 185-186,2024.12.13,00:33:34,60E51C8A
,Skypiea 19,Ch. 286-289,Ep. 187-188,2025.01.04,00:28:22,88263203
,Skypiea 20,Ch. 290-291,Ep. 188,2025.01.18,00:23:46,481A9A9D
,Skypiea 21,Ch. 292-295,Ep. 189-190,2025.02.15,00:29:24,9B126B00
,Skypiea 22,Ch. 295-298,Ep. 191-192,2025.02.22,00:32:55,62938616
,Skypiea 23,Ch. 299-300,Ep. 193,2025.03.01,00:20:13,D9CD96CA
,Skypiea 24,Ch. 301,Ep. 194,2025.04.26,00:19:53,3F695862
,Skypiea 25,Ch. 302-303,"Ep. 195, 203, 207",2025.05.03,00:20:48,C951349C
,Skypiea 25 (G8),Ch. 302-303,"Ep. 195, 203, 207",2025.05.03,,90C45C25
