Water Seven,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Water Seven 01,Ch. 322-324,Ep. 228-230,2020.09.03,00:28:33,9101CF0E
,Water Seven 02,Ch. 324-326,Ep. 229-231,2020.11.25,00:30:48,763C1FA8
,Water Seven 03,Ch. 326-329,Ep. 232-234,2021.01.19,00:43:02,01874097
,Water Seven 04,Ch. 330-332,Ep. 234-235,2021.03.30,00:25:18,D5D6D5BA
,Water Seven 05,Ch. 332-333,Ep. 235-236,2021.03.30,00:20:29,593FF591
,Water Seven 06,Ch. 334-337,Ep. 237-239,2021.05.03,00:36:55,D17BD2C5
,Water Seven 07,Ch. 338-339,Ep. 239-240,2021.06.14,00:23:51,4D75A2CA
,Water Seven 08,Ch. 340-342,Ep. 240-241,2021.06.21,00:28:09,6E2DB1B9
,Water Seven 09,Ch. 342-345,Ep. 242-243,2021.07.25,00:36:14,F96F0A4A
,Water Seven 10,Ch. 346-348,Ep. 244-246,2021.12.05,00:30:26,BAFD9522
,Water Seven 11,Ch. 349-352,Ep. 246-248,2022.01.28,00:38:22,0D273612
,Water Seven 12,Ch. 353-355,Ep. 248-249,2022.03.14,00:27:03,0017358A
,Water Seven 13,Ch. 355-357,Ep. 249-250,2022.06.21,00:23:26,B4592974
,Water Seven 14,Ch. 358-359,"Ep. 250-251, 256, 320",2023.11.04,00:25:07,203E5D6E
,Water Seven 15,Ch. 360-362,Ep. 252-254,2023.12.22,00:33:37,87F0C48B
,Water Seven 16,Ch. 363-365,Ep. 254-255,2024.02.02,00:31:44,AF5B5194
,Water Seven 17,Ch. 366-367,Ep. 256-257,2024.02.17,00:25:09,AB231A9E
,Water Seven 18,Ch. 368-369,Ep. 258-259,2024.02.23,00:21:34,47D68652
,Water Seven 19,Ch. 370-371,Ep. 259-261,2024.03.02,00:24:36,1206A42A
,Water Seven 20,Ch. 372-374,Ep. 262-263,2024.03.15,00:31:24,F0FBC907
