Whole Cake Island,One Pace Episode,Chapters,Episodes,Release Date,Length,MKV CRC32
,Whole Cake Island 01,Ch. 823-824,"Ep. 777-779,783",2020.12.11,00:31:03,3F24A1D8
,Whole Cake Island 02,Ch. 825-826,Ep. 783-785,2020.12.11,00:33:09,6FFCB482
,Whole Cake Island 03,Ch. 827-828,Ep. 785-788,2020.12.11,00:31:57,3F6633B5
,Whole Cake Island 04,Ch. 829-830,Ep. 788-790,2020.12.11,00:31:17,02C6FC2B
,Whole Cake Island 05,Ch. 831-832,Ep. 791-793,2020.12.11,00:32:14,4CF30353
,Whole Cake Island 06,Ch. 833-834,Ep. 793-795,2020.12.11,00:32:19,410C8F0C
,Whole Cake Island 07,Ch. 835-836,Ep. 796-798,2020.12.11,00:31:12,FC2376A1
,Whole Cake Island 08,Ch. 837-838,Ep. 798-800,2020.12.11,00:26:19,31018FCB
,Whole Cake Island 09,Ch. 839-840,"Ep. 800-803,807",2020.12.11,00:32:05,94E3481F
,Whole Cake Island 10,Ch. 841-842,Ep. 804-806,2020.12.11,00:35:45,E123D314
,Whole Cake Island 11,Ch. 843-844,Ep. 806-808,2020.12.11,00:26:18,8B5E1006
,Whole Cake Island 12,Ch. 845-846,Ep. 809-812,2020.12.11,00:34:17,36D0F622
,Whole Cake Island 13,Ch. 847-848,Ep. 812-815,2020.12.11,00:32:25,D9EEB564
,Whole Cake Island 14,Ch. 849-850,Ep. 814-817,2020.12.11,00:34:50,CCCBEFC0
,Whole Cake Island 15,Ch. 851-852,Ep. 817-820,2020.12.11,00:35:53,0E2022E4
,Whole Cake Island 16,Ch. 853-854,Ep. 820-822,2020.12.11,00:29:18,A8E42FE1
,Whole Cake Island 17,Ch. 855-856,Ep. 823-825,2020.12.11,00:33:49,0CF96D5A
,Whole Cake Island 18,Ch. 857-858,Ep. 826-828,2020.12.11,00:36:10,3F5E7FD3
,Whole Cake Island 19,Ch. 859-860,Ep. 828-830,2020.12.11,00:33:28,0F125E00
,Whole Cake Island 20,Ch. 861-862,Ep. 831-832,2020.12.11,00:29:32,4F38961B
,Whole Cake Island 21,Ch. 863-864,"Ep. 831,833-834",2020.12.11,00:35:35,5FDB702D
,Whole Cake Island 22,Ch. 865-866,Ep. 835-836,2020.12.11,00:28:15,39D94718
,Whole Cake Island 23,Ch. 867-868,Ep. 837-839,2020.12.11,00:33:58,437F9E8D
,Whole Cake Island 24,Ch. 869-870,Ep. 839-841,2020.12.11,00:28:41,6E422CFB
,Whole Cake Island 25,Ch. 870-872,Ep. 841-843,2020.12.11,00:35:41,32CC4AB9
,Whole Cake Island 26,Ch. 873-874,Ep. 843-846,2020.12.11,00:34:14,71827EF0
,Whole Cake Island 27,Ch. 875-876,Ep. 846-848,2020.12.11,00:33:11,2CDA8E9D
,Whole Cake Island 28,Ch. 877-878,Ep. 848-850,2020.12.11,00:32:15,22B16322
,Whole Cake Island 29,Ch. 879-880,Ep. 851-853,2020.12.11,00:30:21,270A4ABD
,Whole Cake Island 30,Ch. 881-883,"Ep. 853-855,858",2020.12.11,00:33:25,ABB0AC56
,Whole Cake Island 31,Ch. 883-884,Ep. 856-858,2020.12.11,00:31:08,529AE554
,Whole Cake Island 32,Ch. 885-886,Ep. 858-860,2020.12.11,00:32:11,8313ECE3
,Whole Cake Island 33,Ch. 887-888,Ep. 860-862,2020.12.11,00:30:56,6FBBD350
,Whole Cake Island 34,Ch. 889-891,Ep. 862-865,2020.12.11,00:37:46,A3939979
,Whole Cake Island 35,Ch. 891-893,Ep. 865-868,2020.12.11,00:36:19,1753F7D1
,Whole Cake Island 36,Ch. 892-895,"Ep. 865,867-870",2020.12.11,00:33:49,3AF37912
,Whole Cake Island 37,Ch. 896-897,Ep. 871-872,2020.12.11,00:28:56,3C58DD41
,Whole Cake Island 38,Ch. 898-900,Ep. 873-875,2020.12.11,00:41:27,E9317CBD
,Whole Cake Island 39,Ch. 901-902,Ep. 876-877,2020.12.11,00:34:30,172F5F20
